,Long_X,Lat_Y,Campostoma_spp,Cyprinella_lutrensis,Cyprinella_venusta,Etheostoma_gracile,Etheostoma_radiosum,Fundulus_spp,Gambusia_affinis,Labidesthes_sicculus,Lepomis_cyanellus,Lepomis_humilis,Lepomis_macrochirus,Lepomis_megalotis,Lepomis_microlophus,Lythrurus_umbratilis,Micropterus_punctulatus,Micropterus_salmoides,Notropis_boops,Notemigonus_crysoleucas,Noturus_nocturnus,Percina_sciera,Phenacobius_mirabilis,Pimephales_notatus,Pimephales_vigilax,Pomoxis_annularis,ORD_STRA,dis_m3_pyr,run_mm_cyr,inu_pc_clt,ria_ha_csu,ria_ha_usu,riv_tc_csu,riv_tc_usu,gwt_cm_cav,ele_mt_cav,slp_dg_cav,sgr_dk_rav,pre_mm_cyr,glc_pc_c02,glc_pc_c04,glc_pc_c13,for_pc_cse,cly_pc_cav,slt_pc_cav,snd_pc_cav,soc_th_cav,kar_pc_cse
2014ZZ1,-96.49615,34.39019,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,0.573,233,0,2.059,5.872,4.914,10.01,150,240,16,34,1017,8,0,22,8,22,40,37,14,85
2014ZZ2,-96.49612,34.40007,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,235,0,0.79,0.79,0.771,0.771,181,245,19,28,1019,13,0,39,13,24,43,33,14,100
2014ZZ3,-96.42439,34.38255,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0.343,256,0,1.067,2.779,1.629,3.481,92,202,12,31,1030,0,0,100,0,25,48,27,14,100
2014ZZ4,-96.42405,34.46196,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0.219,247,0,1.742,1.742,2.131,2.131,122,226,14,42,1021,0,9,53,9,27,49,25,15,100
2014ZZ5,-96.33257,34.53458,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0.264,270,0,1.955,1.955,2.556,2.556,110,213,15,21,1037,0,3,85,3,26,49,25,14,0
2014ZZ6,-96.30304,34.27543,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0.622,270,0,3.42,5.547,7.263,9.693,91,192,13,28,1050,68,0,20,68,24,33,43,15,100
2014ZZ7,-96.63303,34.57872,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.206,214,0,1.86,1.86,2.276,2.276,153,288,21,73,1004,20,3,71,23,28,48,25,17,100
2014ZZ8,-96.56747,34.60172,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,2,0.38,224,0,0.606,3.694,1.445,5.07,59,229,11,28,1000,0,0,100,0,25,48,26,14,100
2014ZZ9,-96.57217,34.6157,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,3,1.691,222,0,0.874,20.489,3.814,40.797,44,221,11,17,997,0,0,95,0,25,48,27,14,90
2014ZZ10,-96.63367,34.60974,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.245,210,0,2.362,2.362,3.19,3.19,110,287,18,96,1000,4,7,89,11,27,48,25,17,100
2014ZZ11,-96.07372,34.44079,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,3,4.431,292,2,9.675,54.101,52.877,179.608,164,199,27,18,1072,12,25,38,36,25,48,28,19,0
