,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
1,0,7821.476215,16993.59879,28625.07589,46511.15622,52480.14288,87993.58202,80705.60393,81418.19919,89667.63312,228994.1725,240451.9977,291443.0898,307217.3106,205538.1991,334022.416,324914.9572,74802.30967,104762.9776,37413.34938,23535.98351,52479.63915,54230.10363,68822.92153,85565.55687,312688.5607,315865.3056,290008.3041,270578.5663,55613.98771,42968.25878,33659.58839,115182.2442
2,7821.476215,0,24815.075,36446.5521,54332.63244,60301.6191,95815.05823,88527.08015,89239.67541,97489.10933,236815.6487,248273.4739,299264.566,315038.7869,213359.6753,341843.8922,332736.4334,82623.78588,112584.4538,45234.8256,31357.45972,60301.11537,62051.57985,76644.39775,93387.03308,320510.0369,323686.7818,297829.7803,278400.0425,63435.46393,50789.735,41481.0646,123003.7204
3,16993.59879,24815.075,0,14995.21624,32881.29658,38850.28324,74363.72237,67075.74429,67788.33955,76037.77347,215364.3129,226822.1381,277813.2301,293587.451,191908.3394,320392.5564,311285.0975,61172.45002,91133.11793,23783.48973,9906.123863,38849.7795,40600.24399,55193.06189,71935.69722,299058.701,302235.4459,276378.4444,256948.7066,41984.12806,29338.39914,20029.72874,101552.3845
4,28625.07589,36446.5521,14995.21624,0,34755.58098,40724.56764,76238.00677,68950.02869,69662.62395,77912.05787,217238.5973,228696.4225,279687.5145,295461.7354,193782.6238,322266.8408,313159.3819,63046.73442,93007.40233,25657.77413,16344.23997,40724.0639,42474.52839,57067.34628,73809.98162,300932.9854,304109.7303,278252.7288,258822.991,43858.41246,31212.68354,21904.01314,103426.6689
5,46511.15622,54332.63244,32881.29658,34755.58098,0,49418.60857,57417.74164,50129.76355,50842.35881,59091.79274,225932.6382,237390.4634,288381.5554,304155.7763,202476.6648,330960.8817,321853.4228,44226.46928,74187.1372,19816.02008,34230.32031,49418.10484,23654.26325,38247.08115,54989.71648,309627.0263,312803.7712,286946.7698,267517.0319,25038.14733,12392.4184,30598.05407,112120.7098
6,52480.14288,60301.6191,38850.28324,40724.56764,49418.60857,0,90901.03436,83613.05628,84325.65154,92575.08547,185469.9999,196927.8251,247918.9171,263693.138,162014.0264,290498.2434,281390.7845,77709.76201,107670.4299,40320.80173,40199.30697,22586.17919,57137.55598,71730.37388,88473.00921,269164.388,272341.1329,246484.1314,227054.3936,58521.44006,45875.71113,18820.55449,71658.07153
7,87993.58202,95815.05823,74363.72237,76238.00677,57417.74164,90901.03436,0,7287.978084,13874.23254,22123.66647,267415.064,278872.8892,329863.9812,345638.2021,243959.0906,372443.3075,363335.8486,83532.09605,37219.01093,61298.44587,75712.7461,90900.53063,42413.49639,38418.96234,42819.9896,351109.4521,354286.197,328429.1956,308999.4577,64343.77409,45025.32324,72080.47987,153603.1356
8,80705.60393,88527.08015,67075.74429,68950.02869,50129.76355,83613.05628,7287.978084,0,6586.254459,14835.68838,260127.0859,271584.9111,322576.0032,338350.224,236671.1125,365155.3294,356047.8706,76244.11796,29931.03284,54010.46779,68424.76802,83612.55255,35125.5183,31130.98425,35532.01152,343821.474,346998.219,321141.2175,301711.4797,57055.79601,37737.34515,64792.50179,146315.1576
9,81418.19919,89239.67541,67788.33955,69662.62395,50842.35881,84325.65154,13874.23254,6586.254459,0,8249.433925,260839.6812,272297.5064,323288.5984,339062.8193,237383.7077,365867.9247,356760.4658,76956.71322,23344.77838,54723.06305,69137.36328,84325.14781,35838.11356,31843.57951,36244.60678,344534.0693,347710.8142,321853.8127,302424.0749,57768.39127,38449.94041,65505.09705,147027.7528
10,89667.63312,97489.10933,76037.77347,77912.05787,59091.79274,92575.08547,22123.66647,14835.68838,8249.433925,0,269089.1151,280546.9403,331538.0323,347312.2532,245633.1417,374117.3586,365009.8997,85206.14715,30365.85839,62972.49697,77386.7972,92574.58173,44087.54749,40093.01344,44494.04071,352783.5032,355960.2481,330103.2467,310673.5088,66017.82519,46699.37434,73754.53097,155277.1867
11,228994.1725,236815.6487,215364.3129,217238.5973,225932.6382,185469.9999,267415.064,260127.0859,260839.6812,269089.1151,0,23865.89761,84418.02822,100192.2491,23455.97345,126997.3545,117889.8956,254223.7917,284184.4596,216834.8314,216713.3366,199100.2088,233651.5856,248244.4035,264987.0389,105663.4991,108840.244,82983.24253,63553.50472,235035.4697,222389.7408,195334.5841,114538.5028
12,240451.9977,248273.4739,226822.1381,228696.4225,237390.4634,196927.8251,278872.8892,271584.9111,272297.5064,280546.9403,23865.89761,0,95875.85343,111650.0743,34913.79866,138455.1797,129347.7208,265681.6169,295642.2848,228292.6566,228171.1618,210558.034,245109.4108,259702.2287,276444.8641,117121.3243,120298.0692,94441.06774,75011.32993,246493.2949,233847.566,206792.4093,125996.328
