Site-ID,Long_X,Lat_Y,Elevation,StreamOrder,StreamWidth,RiffleHabitat,WaterTemp,Conductivity,Turbidity,GravelHabitat,RelativeCurrent,Ameiurus_melas,Ameiurus_natalis,Campostoma_spadiceum,Cyprinella_lutrensis,Cyprinella_venusta,Cyprinella_whipplei,Etheostoma_gracile,Etheostoma_radiosum,Etheostoma_spectabile,Fundulus_spp,Gambusia_affinis,Ictalurus_punctatus,Labidesthes_sicculus,Lepomis_cyanellus,Lepomis_gulosus,Lepomis_humilis,Lepomis_macrochirus,Lepomis_megalotis,Lepomis_microlophus,Lythrurus_umbratilis,Micropterus_punctulatus,Micropterus_salmoides,Minytrema_melanops,Moxostoma_erythrurum,Notropis_boops,Notropis_buchanani,Notemigonus_crysoleucas,Noturus_nocturnus,Notropis_stramineus,Notropis_suttkusi,Percina_phoxocephala,Percina_sciera,Phenacobius_mirabilis,Pimephales_notatus,Pimephales_promelas,Pimephales_vigilax,Pomoxis_annularis
2014ZZ1,-96.49615,34.39019,197.9,2,11,20,17.2,0.28,68,15,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2014ZZ2,-96.49612,34.40007,197.9,1,5,10,18.2,0.209,57.6,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014ZZ3,-96.42439,34.38255,185.1,2,12,20,17.2,0.21,107,15,2,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014ZZ4,-96.42405,34.46196,194,1,7,15,18.1,0.333,44,45,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014ZZ5,-96.33257,34.53458,191.5,2,4,0,18.3,0.056,260,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014ZZ6,-96.30304,34.27543,167.4,2,7,10,21.3,0.34,25,10,2,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2014ZZ7,-96.63303,34.57872,280.7,1,7,50,16.7,0.281,11,10,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014ZZ8,-96.56747,34.60172,218.1,2,8,50,19.5,0.223,4,45,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
2014ZZ9,-96.57217,34.6157,206.4,3,10,10,18.6,0.29,68,40,2,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0
2014ZZ10,-96.63367,34.60974,250.3,1,10,30,19.5,0.274,12,30,2,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014ZZ11,-96.07372,34.44079,180.7,4,10,0,25.25,0.342,45,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014ZZ12,-95.98186,34.48375,184.6,2,8,15,25.1,0.1,4,40,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2014ZZ13,-96.15456,34.73555,202.8,3,7,30,25.5,0.232,43,40,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
2014ZZ14,-96.19473,34.77724,216.9,1,8,0,25.7,0.211,43,45,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2014ZZ15,-96.00595,34.35246,170.6,5,15,60,26.7,0.183,67,10,3,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
2014ZZ16,-96.44138,34.79137,219.8,2,7,0,25.9,0.335,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2014ZZ17,-96.42163,34.8073,220,3,10,10,27.6,0.508,31,20,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2014ZZ18,-96.44853,34.69476,208.6,2,6,0,24.4,0.241,197,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014ZZ19,-96.63496,34.70198,238.4,2,8,60,30.16,0.475,19.5,80,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
2014ZZ20,-96.37196,34.47657,180,1,5,40,21.85,0.214,93.8,40,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014ZZ21,-96.44225,34.4262,203.9,2,8,40,22.5,0.392,25,80,3,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2014ZZ22,-96.41936,34.32896,198.2,2,12,40,24.52,0.176,10,10,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2014ZZ23,-96.44302,34.5455,150.2,3,7,0,25.26,0.389,44.8,50,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014ZZ24,-96.49464,34.57137,203.1,2,5,30,24.88,0.391,44.3,40,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0
2014ZZ25,-96.54231,34.69466,219.7,2,3,50,25.54,0.131,81,20,2,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
2014ZZ26,-96.35905,34.81064,215.7,2,4,30,26.32,0.137,15.5,10,3,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2014ZZ27,-96.19662,34.81658,219.3,2,4,20,25.46,0.15,49.5,10,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
2014ZZ28,-96.26391,34.74194,199.7,3,8,0,23.76,0.429,18.4,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2014ZZ29,-96.20872,34.62922,184.1,4,6,10,23.8,0.245,42.9,10,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
2014ZZ30,-96.39483,34.61094,193.1,3,3,10,23.98,0.24,65.9,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
2014ZZ31,-96.35316,34.50544,188,4,10,20,26.63,0.574,104,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
2014ZZ32,-96.31983,34.37022,172.5,4,15,0,27.8,0.32,105,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
2014ZZ33,-95.88593,34.10006,144.2,4,6,40,22.8,0.254,258,20,2,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0
